logo-rsnone-01	C03-Home	App bar	186x94	1.98	extracted from mock; swap for production SVG
hero-home-01	C03-Home	Hero	853x432	1.97	full-bleed, left scrim carries headline
prod-copper-vessel-01	C03-Home	New at RSN rail	194x160	1.21	also C04 C06 C07 C11 C12 C25 C26 C32 C33
prod-brass-kettle-01	C03-Home	New at RSN rail	194x160	1.21	also C04 C06 C12
prod-beeswax-candle-01	C03-Home	New at RSN rail	194x160	1.21	also C04 C11 C12
prod-yak-blanket-01	C03-Home	New at RSN rail	194x160	1.21	also C04 C09
world-morning-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06
world-skin-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06
world-sleep-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06
world-table-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06
world-gifts-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06
world-global-select-01	C03-Home	The Worlds of RSN	118x118	1.00	circular crop; also C04 C06 C15
promo-rsn-edit-01	C03-Home	Promo grid tile 1	391x190	2.06	light photo, dark type over left scrim
promo-global-select-01	C03-Home	Promo grid tile 2	391x190	2.06	dark photo, cream type
house-lazimpat-01	C03-Home	Promo grid tile 3	391x190	2.06	light photo; also C08
promo-member-advantage-01	C03-Home	Promo grid tile 4	391x190	2.06	light photo, membership card in frame
drop-brass-urn-01	C03-Home	Limited Discoveries rail	194x160	1.21	cut off by frame bottom in the mock
drop-ceramic-jar-01	C03-Home	Limited Discoveries rail	194x160	1.21	cut off by frame bottom in the mock
drop-tea-set-01	C03-Home	Limited Discoveries rail	194x160	1.21	cut off by frame bottom in the mock
drop-stone-bowl-01	C03-Home	Limited Discoveries rail	194x160	1.21	half off the right edge; also C24
